duration,protocol_type,service,flag,src_bytes,dst_bytes,wrong_fragment,urgent,hot,num_failed_logins,num_compromised,root_shell,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,label
0.012,icmp,telnet,SF,68,0,0,0,0,0,0,0,152,4,0.19,0.92,0.07,0.93,Probe
0.369,tcp,dns,SF,387,5247,0,0,0,0,0,0,1,6,0.04,0.01,0.98,0.04,normal
2.28,tcp,telnet,SF,569,266,0,0,3,5,0,0,3,1,0.0,0.0,1.0,0.0,R2L
0.574,tcp,http,SF,1286,429,0,0,0,0,0,0,4,4,0.04,0.04,0.92,0.07,normal
0.047,tcp,telnet,REJ,39,0,0,0,0,0,0,0,178,4,0.12,0.69,0.05,1.0,Probe
0.913,tcp,smtp,SF,1302,6613,0,0,0,0,0,0,7,8,0.0,0.01,0.95,0.03,normal
0.779,tcp,smtp,SF,1532,4951,0,0,0,0,0,0,2,5,0.05,0.04,0.99,0.1,normal
0.205,tcp,dns,SF,1454,5672,0,0,0,0,0,0,5,3,0.02,0.02,0.93,0.03,normal
0.812,tcp,dns,SF,337,6445,0,0,0,0,0,0,9,8,0.04,0.0,0.89,0.04,normal
0.791,tcp,http,SF,767,7447,0,0,0,0,0,0,12,7,0.02,0.0,0.94,0.13,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,210,9,0.91,0.08,0.07,0.07,DoS
11.08,tcp,ssh,SF,391,317,0,0,1,6,0,0,5,4,0.0,0.0,1.0,0.0,R2L
0.242,tcp,http,SF,1291,1751,0,0,0,0,0,0,10,9,0.03,0.01,0.88,0.14,normal
0.322,tcp,http,SF,1725,4201,0,0,0,0,0,0,3,10,0.02,0.04,0.97,0.12,normal
4.24,tcp,ssh,SF,327,195,0,0,2,3,0,0,3,2,0.0,0.0,1.0,0.0,R2L
0.122,tcp,http,SF,1702,593,0,0,0,0,0,0,5,4,0.03,0.02,0.93,0.03,normal
0.032,icmp,private,REJ,62,0,0,0,0,0,0,0,180,4,0.16,0.94,0.06,0.76,Probe
48.51,tcp,telnet,SF,2410,4567,0,0,2,0,4,1,1,1,0.0,0.0,1.0,0.0,U2R
0.022,icmp,eco_i,SF,81,0,0,0,0,0,0,0,157,4,0.17,0.91,0.05,0.78,Probe
0.92,tcp,http,SF,1402,7686,0,0,0,0,0,0,12,2,0.04,0.04,0.93,0.1,normal
0.673,tcp,smtp,SF,674,2817,0,0,0,0,0,0,2,5,0.03,0.03,0.9,0.11,normal
0.46,tcp,http,SF,1281,1504,0,0,0,0,0,0,2,8,0.05,0.03,0.89,0.11,normal
0.721,tcp,http,SF,1712,5344,0,0,0,0,0,0,12,4,0.04,0.04,0.86,0.14,normal
0.384,tcp,smtp,SF,192,3956,0,0,0,0,0,0,9,3,0.05,0.01,0.86,0.03,normal
0.041,tcp,http,SF,1221,7350,0,0,0,0,0,0,7,1,0.03,0.04,0.98,0.13,normal
0.048,tcp,finger,REJ,75,0,0,0,0,0,0,0,143,1,0.19,0.42,0.08,0.88,Probe
0.374,tcp,dns,SF,880,406,0,0,0,0,0,0,9,5,0.04,0.03,0.93,0.02,normal
1.143,tcp,dns,SF,1055,7033,0,0,0,0,0,0,2,10,0.01,0.01,0.85,0.06,normal
0.657,tcp,dns,SF,1227,7535,0,0,0,0,0,0,10,7,0.01,0.04,0.91,0.12,normal
0.621,tcp,http,SF,351,6111,0,0,0,0,0,0,6,10,0.04,0.02,0.86,0.12,normal
0.773,tcp,http,SF,1309,7996,0,0,0,0,0,0,2,9,0.04,0.03,0.98,0.04,normal
1.072,tcp,smtp,SF,463,3567,0,0,0,0,0,0,6,9,0.01,0.02,0.96,0.13,normal
52.66,tcp,telnet,SF,1527,9385,0,0,5,0,2,1,1,1,0.0,0.0,1.0,0.0,U2R
0.421,tcp,http,SF,641,1159,0,0,0,0,0,0,10,10,0.01,0.02,0.96,0.14,normal
0.903,tcp,dns,SF,1243,2022,0,0,0,0,0,0,7,7,0.03,0.04,0.88,0.1,normal
0.072,tcp,smtp,SF,1127,4144,0,0,0,0,0,0,10,10,0.0,0.04,0.88,0.13,normal
0.838,tcp,http,SF,1048,737,0,0,0,0,0,0,11,2,0.01,0.02,0.85,0.12,normal
0.702,tcp,http,SF,327,1585,0,0,0,0,0,0,6,6,0.01,0.04,0.99,0.15,normal
0.027,icmp,eco_i,RSTO,10,0,0,0,0,0,0,0,215,1,0.18,0.76,0.04,0.8,Probe
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,272,25,0.97,0.05,0.08,0.17,DoS
51.24,tcp,telnet,SF,4073,3027,0,0,4,0,3,1,1,1,0.0,0.0,1.0,0.0,U2R
0.637,tcp,http,SF,1000,1317,0,0,0,0,0,0,4,9,0.02,0.05,0.91,0.03,normal
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,392,16,0.89,0.04,0.14,0.18,DoS
0.208,tcp,http,SF,1622,2744,0,0,0,0,0,0,7,3,0.05,0.0,0.91,0.1,normal
0.755,tcp,http,SF,463,2372,0,0,0,0,0,0,9,8,0.05,0.01,0.91,0.0,normal
0.002,tcp,finger,REJ,38,0,0,0,0,0,0,0,198,3,0.06,0.85,0.07,0.91,Probe
0.026,icmp,eco_i,RSTO,91,0,0,0,0,0,0,0,219,4,0.02,0.57,0.01,0.67,Probe
1.164,tcp,smtp,SF,640,8429,0,0,0,0,0,0,5,2,0.02,0.0,0.97,0.08,normal
0.046,icmp,telnet,REJ,56,0,0,0,0,0,0,0,201,3,0.05,0.45,0.02,0.89,Probe
106.13,tcp,ssh,SF,8063,12658,0,0,0,0,0,0,1,3,0.0,0.0,1.0,0.0,normal
0.528,tcp,http,SF,1666,647,0,0,0,0,0,0,12,9,0.0,0.04,0.91,0.05,normal
1.173,tcp,dns,SF,1433,3585,0,0,0,0,0,0,1,10,0.03,0.03,0.9,0.1,normal
1.152,tcp,http,SF,1348,428,0,0,0,0,0,0,9,9,0.03,0.04,0.95,0.04,normal
0.188,tcp,http,SF,1783,3703,0,0,0,0,0,0,5,2,0.05,0.02,0.98,0.1,normal
0.025,icmp,telnet,REJ,82,0,0,0,0,0,0,0,113,4,0.08,0.73,0.05,0.85,Probe
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,335,23,0.99,0.08,0.17,0.17,DoS
0.225,tcp,http,SF,1453,1619,0,0,0,0,0,0,6,7,0.01,0.04,0.9,0.11,normal
0.045,tcp,finger,REJ,96,0,0,0,0,0,0,0,85,2,0.2,0.87,0.07,0.83,Probe
1.177,tcp,http,SF,1349,2208,0,0,0,0,0,0,10,1,0.03,0.03,0.91,0.08,normal
0.063,tcp,smtp,SF,1263,551,0,0,0,0,0,0,1,4,0.0,0.04,0.98,0.08,normal
77.71,tcp,ssh,SF,6740,5406,0,0,0,0,0,0,2,1,0.0,0.0,1.0,0.0,normal
0.023,tcp,dns,SF,840,5030,0,0,0,0,0,0,6,7,0.01,0.0,0.96,0.05,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,384,15,0.98,0.09,0.13,0.09,DoS
0.747,tcp,http,SF,1144,4335,0,0,0,0,0,0,7,2,0.01,0.01,0.95,0.13,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,363,11,0.98,0.04,0.14,0.11,DoS
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,345,17,0.94,0.08,0.19,0.08,DoS
12.99,tcp,telnet,SF,510,569,0,0,2,4,0,0,5,4,0.0,0.0,1.0,0.0,R2L
0.041,tcp,telnet,SF,52,0,0,0,0,0,0,0,87,2,0.08,0.79,0.05,0.96,Probe
64.13,tcp,telnet,SF,3406,7937,0,0,5,0,1,1,1,1,0.0,0.0,1.0,0.0,U2R
0.042,icmp,http,SF,21,0,0,0,0,0,0,0,204,4,0.01,0.52,0.01,0.97,Probe
1.157,tcp,smtp,SF,1066,1885,0,0,0,0,0,0,2,4,0.03,0.02,0.93,0.13,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,246,5,0.96,0.05,0.07,0.17,DoS
0.433,tcp,http,SF,1529,3872,0,0,0,0,0,0,9,2,0.01,0.0,0.96,0.1,normal
0.023,icmp,telnet,SF,86,0,0,0,0,0,0,0,137,4,0.03,0.76,0.02,0.78,Probe
11.82,tcp,ssh,SF,11144,32607,0,0,0,0,0,0,2,3,0.0,0.0,1.0,0.0,normal
0.028,tcp,eco_i,RSTO,0,0,0,0,0,0,0,0,212,4,0.08,0.85,0.02,0.81,Probe
1.074,tcp,smtp,SF,740,5670,0,0,0,0,0,0,4,10,0.0,0.02,0.87,0.09,normal
0.428,tcp,http,SF,1269,3016,0,0,0,0,0,0,3,8,0.04,0.04,0.9,0.09,normal
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,460,7,0.88,0.0,0.1,0.1,DoS
1.185,tcp,http,SF,480,6739,0,0,0,0,0,0,4,6,0.05,0.02,0.94,0.02,normal
0.679,tcp,http,SF,550,1824,0,0,0,0,0,0,10,5,0.03,0.01,0.93,0.04,normal
0.048,icmp,eco_i,SF,52,0,0,0,0,0,0,0,190,3,0.08,0.76,0.02,0.88,Probe
0.006,icmp,private,SF,41,0,0,0,0,0,0,0,126,3,0.13,0.85,0.1,1.0,Probe
0.035,icmp,telnet,REJ,91,0,0,0,0,0,0,0,144,4,0.04,0.71,0.03,0.91,Probe
1.048,tcp,smtp,SF,1581,4905,0,0,0,0,0,0,11,7,0.05,0.01,1.0,0.05,normal
50.39,tcp,telnet,SF,2178,8627,0,0,6,0,2,1,1,1,0.0,0.0,1.0,0.0,U2R
0.215,tcp,dns,SF,935,2316,0,0,0,0,0,0,3,1,0.03,0.0,1.0,0.13,normal
1.092,tcp,http,SF,971,2000,0,0,0,0,0,0,4,1,0.05,0.02,0.95,0.1,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,236,10,1.0,0.1,0.08,0.13,DoS
70.77,tcp,ssh,SF,8507,20941,0,0,0,0,0,0,3,3,0.0,0.0,1.0,0.0,normal
1.192,tcp,dns,SF,1124,6718,0,0,0,0,0,0,3,4,0.05,0.03,0.97,0.0,normal
9.19,tcp,ssh,SF,235,415,0,0,3,2,0,0,2,1,0.0,0.0,1.0,0.0,R2L
0.565,tcp,http,SF,807,5047,0,0,0,0,0,0,6,7,0.02,0.05,0.89,0.15,normal
0.205,tcp,http,SF,1371,8207,0,0,0,0,0,0,6,10,0.04,0.02,0.97,0.14,normal
0.021,icmp,telnet,RSTO,44,0,0,0,0,0,0,0,188,2,0.07,0.67,0.05,0.69,Probe
104.62,tcp,ssh,SF,2784,27863,0,0,0,0,0,0,2,2,0.0,0.0,1.0,0.0,normal
49.68,tcp,ssh,SF,2472,5481,0,0,0,0,0,0,1,2,0.0,0.0,1.0,0.0,normal
0.117,tcp,http,SF,1390,2244,0,0,0,0,0,0,6,2,0.02,0.01,0.87,0.01,normal
0.203,tcp,http,SF,1231,6120,0,0,0,0,0,0,5,4,0.04,0.0,0.86,0.07,normal
0.007,tcp,http,SF,1,0,0,0,0,0,0,0,200,4,0.04,0.47,0.0,0.7,Probe
11.63,tcp,ssh,SF,335,155,0,0,1,3,0,0,3,5,0.0,0.0,1.0,0.0,R2L
59.21,tcp,ssh,SF,5360,14499,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,normal
0.256,tcp,smtp,SF,310,2137,0,0,0,0,0,0,1,3,0.02,0.01,0.94,0.08,normal
13.51,tcp,ssh,SF,4347,18888,0,0,0,0,0,0,3,1,0.0,0.0,1.0,0.0,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,210,20,0.99,0.03,0.11,0.18,DoS
0.939,tcp,dns,SF,861,4200,0,0,0,0,0,0,1,1,0.0,0.02,0.92,0.06,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,190,25,0.98,0.08,0.2,0.15,DoS
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,387,4,0.98,0.09,0.17,0.07,DoS
97.92,tcp,ssh,SF,3409,30105,0,0,0,0,0,0,3,3,0.0,0.0,1.0,0.0,normal
0.428,tcp,http,SF,796,5754,0,0,0,0,0,0,7,2,0.0,0.05,0.9,0.11,normal
1.11,tcp,telnet,SF,352,566,0,0,3,2,0,0,1,3,0.0,0.0,1.0,0.0,R2L
1.119,tcp,dns,SF,1096,2350,0,0,0,0,0,0,5,6,0.01,0.02,0.99,0.12,normal
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,375,13,0.93,0.05,0.14,0.05,DoS
0.928,tcp,dns,SF,1222,3498,0,0,0,0,0,0,10,5,0.01,0.0,0.97,0.07,normal
0.021,tcp,finger,RSTO,90,0,0,0,0,0,0,0,116,1,0.05,0.55,0.09,0.93,Probe
0.425,tcp,http,SF,892,8222,0,0,0,0,0,0,2,6,0.01,0.05,0.97,0.02,normal
0.521,tcp,http,SF,136,5665,0,0,0,0,0,0,2,6,0.01,0.01,0.99,0.1,normal
0.88,tcp,http,SF,909,8195,0,0,0,0,0,0,4,10,0.0,0.03,1.0,0.11,normal
10.46,tcp,ssh,SF,125,429,0,0,4,6,0,0,5,1,0.0,0.0,1.0,0.0,R2L
0.574,tcp,http,SF,909,4228,0,0,0,0,0,0,1,2,0.05,0.01,0.94,0.15,normal
0.033,icmp,eco_i,RSTO,30,0,0,0,0,0,0,0,195,3,0.12,0.54,0.03,0.89,Probe
0.006,icmp,http,RSTO,29,0,0,0,0,0,0,0,121,3,0.16,0.95,0.1,0.97,Probe
0.02,tcp,finger,SF,65,0,0,0,0,0,0,0,97,1,0.07,0.7,0.03,0.86,Probe
0.92,tcp,dns,SF,1229,2542,0,0,0,0,0,0,4,8,0.04,0.03,0.97,0.0,normal
1.146,tcp,http,SF,1417,5137,0,0,0,0,0,0,5,3,0.0,0.01,0.95,0.11,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,345,13,0.98,0.09,0.17,0.1,DoS
1.05,tcp,http,SF,1371,6739,0,0,0,0,0,0,7,3,0.03,0.01,0.87,0.03,normal
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,245,18,0.89,0.06,0.16,0.14,DoS
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,363,5,0.92,0.08,0.17,0.1,DoS
1.035,tcp,smtp,SF,624,1662,0,0,0,0,0,0,4,5,0.0,0.04,0.86,0.0,normal
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,206,13,0.99,0.09,0.08,0.2,DoS
0.047,tcp,http,RSTO,69,0,0,0,0,0,0,0,113,4,0.09,0.87,0.02,0.96,Probe
1.034,tcp,dns,SF,1646,6224,0,0,0,0,0,0,4,7,0.01,0.02,0.99,0.07,normal
0.481,tcp,http,SF,156,4230,0,0,0,0,0,0,9,9,0.03,0.03,0.93,0.02,normal
0.398,tcp,http,SF,818,2424,0,0,0,0,0,0,3,4,0.04,0.04,0.94,0.07,normal
39.45,tcp,ssh,SF,11883,8499,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.0,normal
0.13,tcp,http,SF,773,4868,0,0,0,0,0,0,2,7,0.02,0.05,0.87,0.14,normal
7.58,tcp,ssh,SF,125,790,0,0,4,6,0,0,3,1,0.0,0.0,1.0,0.0,R2L
0.667,tcp,http,SF,591,7476,0,0,0,0,0,0,6,5,0.03,0.02,0.91,0.07,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,413,9,0.93,0.09,0.13,0.14,DoS
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,288,9,0.9,0.09,0.19,0.05,DoS
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,289,9,0.96,0.05,0.16,0.2,DoS
0.22,tcp,http,SF,1561,3100,0,0,0,0,0,0,3,4,0.02,0.04,0.93,0.01,normal
0.05,icmp,eco_i,SF,47,0,0,0,0,0,0,0,116,3,0.05,0.62,0.02,0.93,Probe
0.405,tcp,http,SF,1549,3302,0,0,0,0,0,0,4,6,0.01,0.05,0.85,0.03,normal
0.02,icmp,http,SF,98,0,0,0,0,0,0,0,89,3,0.04,0.69,0.04,0.7,Probe
1.047,tcp,dns,SF,1276,1873,0,0,0,0,0,0,8,5,0.01,0.03,0.99,0.1,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,206,7,0.96,0.09,0.09,0.14,DoS
0.736,tcp,http,SF,417,1412,0,0,0,0,0,0,10,4,0.03,0.04,0.89,0.12,normal
0.171,tcp,http,SF,1711,789,0,0,0,0,0,0,6,3,0.02,0.0,0.91,0.05,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,178,16,0.91,0.04,0.11,0.06,DoS
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,233,10,0.96,0.09,0.13,0.17,DoS
0.147,tcp,http,SF,1323,5647,0,0,0,0,0,0,12,2,0.0,0.02,0.89,0.11,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,276,8,0.98,0.0,0.09,0.06,DoS
0.819,tcp,http,SF,1625,6055,0,0,0,0,0,0,11,9,0.04,0.05,0.94,0.06,normal
0.202,tcp,smtp,SF,920,3809,0,0,0,0,0,0,4,10,0.02,0.03,0.99,0.1,normal
0.588,tcp,http,SF,993,3404,0,0,0,0,0,0,5,4,0.01,0.04,0.93,0.1,normal
0.025,tcp,http,SF,18,0,0,0,0,0,0,0,92,4,0.08,0.46,0.06,0.93,Probe
0.046,tcp,http,RSTO,24,0,0,0,0,0,0,0,106,3,0.16,0.9,0.08,0.85,Probe
1.078,tcp,http,SF,476,6567,0,0,0,0,0,0,6,9,0.02,0.05,0.95,0.08,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,308,21,0.99,0.01,0.16,0.16,DoS
0.025,icmp,finger,RSTO,20,0,0,0,0,0,0,0,167,4,0.04,0.89,0.03,0.8,Probe
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,203,12,0.95,0.06,0.19,0.18,DoS
0.021,tcp,private,SF,74,0,0,0,0,0,0,0,198,3,0.14,0.89,0.02,0.73,Probe
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,363,7,0.89,0.09,0.15,0.19,DoS
0.683,tcp,dns,SF,445,7484,0,0,0,0,0,0,2,6,0.0,0.01,0.93,0.13,normal
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,215,11,0.85,0.03,0.2,0.2,DoS
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,435,18,0.94,0.07,0.13,0.1,DoS
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,315,20,0.94,0.04,0.19,0.13,DoS
9.46,tcp,telnet,SF,457,675,0,0,3,3,0,0,2,4,0.0,0.0,1.0,0.0,R2L
62.25,tcp,telnet,SF,3158,5212,0,0,2,0,3,1,1,1,0.0,0.0,1.0,0.0,U2R
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,169,9,0.95,0.03,0.11,0.06,DoS
0.311,tcp,http,SF,1150,5482,0,0,0,0,0,0,11,1,0.04,0.01,0.94,0.08,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,464,21,0.97,0.1,0.11,0.08,DoS
0.041,tcp,eco_i,SF,34,0,0,0,0,0,0,0,186,3,0.18,0.94,0.03,0.88,Probe
0.638,tcp,dns,SF,811,2570,0,0,0,0,0,0,8,2,0.03,0.0,0.87,0.02,normal
115.83,tcp,ssh,SF,2345,12692,0,0,0,0,0,0,3,1,0.0,0.0,1.0,0.0,normal
0.981,tcp,http,SF,1372,3276,0,0,0,0,0,0,12,6,0.03,0.02,0.89,0.13,normal
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,464,25,0.97,0.06,0.06,0.08,DoS
46.74,tcp,ssh,SF,3845,28279,0,0,0,0,0,0,3,1,0.0,0.0,1.0,0.0,normal
1.97,tcp,ftp,SF,317,239,0,0,4,2,0,0,4,4,0.0,0.0,1.0,0.0,R2L
0.032,icmp,finger,RSTO,63,0,0,0,0,0,0,0,211,3,0.02,0.49,0.05,0.78,Probe
0.034,tcp,eco_i,REJ,38,0,0,0,0,0,0,0,170,4,0.07,0.67,0.1,0.78,Probe
0.045,icmp,eco_i,REJ,3,0,0,0,0,0,0,0,145,2,0.19,0.48,0.08,0.86,Probe
0.115,tcp,smtp,SF,788,4409,0,0,0,0,0,0,6,3,0.04,0.0,0.99,0.06,normal
0.328,tcp,dns,SF,602,6238,0,0,0,0,0,0,4,10,0.03,0.03,1.0,0.08,normal
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,434,5,0.89,0.09,0.14,0.13,DoS
0.124,tcp,dns,SF,702,1202,0,0,0,0,0,0,8,1,0.01,0.0,1.0,0.06,normal
0.902,tcp,dns,SF,446,5889,0,0,0,0,0,0,6,7,0.02,0.03,0.9,0.09,normal
29.88,tcp,ssh,SF,3062,32431,0,0,0,0,0,0,3,2,0.0,0.0,1.0,0.0,normal
0.038,tcp,smtp,SF,688,894,0,0,0,0,0,0,4,2,0.05,0.04,0.99,0.07,normal
0.088,tcp,smtp,SF,1446,2803,0,0,0,0,0,0,4,8,0.05,0.04,0.92,0.14,normal
0.049,tcp,private,RSTO,6,0,0,0,0,0,0,0,202,4,0.07,0.47,0.03,0.88,Probe
104.44,tcp,ssh,SF,3787,32783,0,0,0,0,0,0,1,2,0.0,0.0,1.0,0.0,normal
0.045,tcp,private,REJ,46,0,0,0,0,0,0,0,161,4,0.16,0.79,0.06,0.91,Probe
0.781,tcp,http,SF,646,1528,0,0,0,0,0,0,1,5,0.0,0.04,0.85,0.07,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,327,22,0.95,0.09,0.11,0.16,DoS
0.012,tcp,smtp,SF,1538,8293,0,0,0,0,0,0,5,9,0.05,0.02,1.0,0.13,normal
44.19,tcp,telnet,SF,2546,6328,0,0,4,0,3,1,1,1,0.0,0.0,1.0,0.0,U2R
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,217,10,0.85,0.06,0.13,0.07,DoS
0.906,tcp,http,SF,342,6007,0,0,0,0,0,0,3,4,0.02,0.0,0.95,0.0,normal
0.901,tcp,smtp,SF,599,5816,0,0,0,0,0,0,7,8,0.04,0.03,0.96,0.09,normal
1.128,tcp,http,SF,1788,3461,0,0,0,0,0,0,4,9,0.05,0.01,0.94,0.04,normal
0.0,tcp,private,REJ,0,0,0,0,0,0,0,0,414,14,0.9,0.0,0.16,0.17,DoS
0.667,tcp,http,SF,974,5729,0,0,0,0,0,0,5,10,0.05,0.0,0.87,0.03,normal
1.171,tcp,http,SF,1782,2489,0,0,0,0,0,0,7,7,0.04,0.02,0.89,0.06,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,229,22,0.91,0.03,0.16,0.08,DoS
0.027,icmp,telnet,REJ,69,0,0,0,0,0,0,0,105,1,0.19,0.81,0.06,0.95,Probe
0.295,tcp,http,SF,1327,6223,0,0,0,0,0,0,4,4,0.01,0.05,0.9,0.01,normal
0.072,tcp,http,SF,1147,1906,0,0,0,0,0,0,10,3,0.05,0.01,0.86,0.12,normal
0.0,tcp,private,S0,0,0,0,0,0,0,0,0,160,4,0.86,0.03,0.13,0.14,DoS
0.455,tcp,http,SF,806,7822,0,0,0,0,0,0,4,7,0.05,0.03,0.85,0.07,normal
0.914,tcp,smtp,SF,342,6041,0,0,0,0,0,0,5,9,0.03,0.02,0.96,0.14,normal
